"['orgTags_CATEGORIES' ]"                   counts
"['Catering']"  11
"['Business', 'Economics']"     11
"['Teacher']"   10
"['Student']"   10
"['Restaurant', 'Meat']"        10
"['Office']"    10
"['Math']"      10
"['Manufacturing', 'Plant Operator']"   10
"['Engineering', 'Sales Engineer']"     10
"['Education', 'Special Needs']"        10
"['Dental Assistant']"  10
"['Construction', 'Electrical Drafter']"        10
"['Computer Technician']"       10
"['Business', 'Board Member']"  10
"['Asset Management']"  10
"['Risk management']"   9
"['Physician']"   9
"['Marketing', 'Brand Marketing']"      9
"['Manufacturing', 'Cabinet Maker']"    9
"['Law Enforcement', 'Forensic']"       9
"['Healthcare', 'Community Nurse']"     9
"['Dispatcher']"        9
"['Dishwasher']"        9
"['Truck driver']"      8
"['Real Estate', 'Real Estate Sales']"  8
"['Project Management']"        8
"['Program and Project Management']"    8
"['Mining', 'Coal Mining']"     8
"['Logistics', 'Picking Packing']"      8
"['Investment Banking/M&A']"    8
"['Hospitality', 'Waitress']"   8
"['Healthcare', 'Mental Health Nurse']"   8
"['Facilities', 'Office Junior']"       8
"['Construction', 'Rigger']"    8
"['Business Management']"       8
"['Bioinformatics']"    8
"['Bartender']"   8
"['Bank']"      8
"['Administrative Assistant']"  8
"['Teller']"    7
"['Sales', 'Casual Sales']"     7
"['Publishing', 'Catalogue Delivery']"  7
"['Physical education']"        7
"['Part Time']"   7
"['Nursing home']"      7
"['Logistics', 'Supply Chain']"   7
"['Logistics', 'Procurement']"    7
"['Logistics', 'Buyer']"        7
"['Interior design']"     7
"['Healthcare', 'Pca']"   7
"['Healthcare', 'Clinical Nurse']"      7
"['Education', 'After School']"   7
"['Construction', 'Formwork']"    7
"['Cio']"       7
"['Carpentry']"   7
"['Arts and Design']"   7
"['Accounting', 'Account Payable Officer']"     7
"['Warehouse']"   6
"['Transportation', 'Casual Driver']"   6
"['Technician']"        6
"['Security']"    6
"['Public Relations']"    6
"['Pharmacy technician']"       6
"['Operations', 'ONET']"        6
"['Medical Assistant']"   6
"['Mechanical', 'Auto Electrician']"    6
"['Logistics', 'Warehouse']"    6
"['Lawyer']"    6
"['Insurance']"   6
"['Graphic design']"    6
"['Flight attendant']"   6
"['Executive Assistant']"       6
"['Construction', 'Road Construction']"  6
"['Construction', 'Forklift Driver']"   6
"['Construction', 'Electrical Apprentice']"     6
"['Civil Engineering']"   6
"['Business']"  6
"['Aviation']"  6
"['Asset Management', 'ONET']"  6
"['Waitress']"   5
"['Training']"   5
"['Sales Representative']"      5
"['Receptionist']"      5
"['Pilot']"      5
"['Personal Trainer']"   5
"['Mechanic']"   5
"['Food Service', 'Casual Cafe']"       5
"['Exercise Physiology']"       5
"['Entry Level Marketing']"     5
"['Chemical Engineering']"      5
"['Business', 'SAP Basis']"     5
"['Arts', 'Model']"     5
"['Telecommunications']"        4
"['Research Assistant']"        4
"['Proofreading']"      4
"['Photography']"       4
"['Pharmacist']"        4
"['Personal Assistant']"        4
"['Paralegal']"  4
"['Office assistant']"   4
"['Military']"   4
"['Mechanical', 'Mechanical Drafter']"  4
"['Investment Banking/M&A', 'ONET']"    4
"['Interpreter']"       4
"['Housekeeping']"      4
"['Front Desk']"        4
"['Freelance']"  4
"['Fintech']"   4
"['Energy']"    4
"['Consulting', 'Travel Consultant']"    4
"['Consulting', 'Strategy Consultant']"  4
"['Construction', 'Electrical']"        4
"['Child Care']"         4
"['Audio Engineering']"  4
"['Web developer']"     3
"['Training', 'Apprenticeships']"       3
"['Technical writing']"  3
"['Sports Marketing']"   3
"['Software Engineer']"  3
"['Secretary']"  3
"['Scientific', 'Physics']"     3
"['Retail management']"  3
"['Restaurant', 'Apprentice Chef']"     3
"['Physician assistant']"       3
"['Mechanical', 'Mechanical Design Engineer']"   3
"['Industrial Design']"  3
"['Hospitality', 'Bar']"        3
"['Healthcare', 'Registered Nurse']"    3
"['Healthcare Management']"     3
"['Dental Hygienist']"   3
"['Data Entry']"        3
"['Creative']"   3
"['Business Analyst']"   3
"['Advertising/Public Relations']"      3
"['Administrative', 'School Assistant']"        3
"['Accounting', 'Payroll']"     3
"['Veterinarian']"      2
"['Translator']"        2
"['Telemarketing']"     2
"['Risk Management']"    2
"['Risk Management', 'ONET']"   2
"['Pharmaceutical Sales']"      2
"['Online']"     2
"['Nonprofit']"  2
"['Medical transcription']"     2
"['Mechanical Engineering']"    2
"['Investment Consulting']"     2
"['Industrial Engineering']"    2
"['HR & Recruitment']"   2
"['Firefighter']"        2
"['Fintech', 'ONET']"    2
"['Engineering', 'Information Technology']"     2
"['Criminal Justice']"   2
"['Construction', 'Forklift Operator']"   2
"['Computer', 'Net Developer']"   2
"['Computer', 'Computer Science']"      2
"['Commodities']"       2
"['Capital Markets', 'ONET']"   2
"['Air Traffic Controller']"    2
"['Accounting & Finance', 'ONET']"      2
"['Training', 'Apprentice Year']"       1
"['Trading']"   1
"['Technology', 'ONET']"        1
"['Research', 'ONET']"       1
"['Quantitative Analytics', 'ONET']"    1
"['Police Officer']"       1
"['Planning']"       1
"['Medical Receptionist']"      1
"['Logistik']"  1
"['Information Services', 'ONET']"      1
"['Hedge Funds']"       1
"['Factory']"       1
"['Editing']"       1
"['Derivatives']"       1
"['Debt/Fixed Income']"       1
"['Debt/Fixed Income', 'ONET']"       1
"['Construction', 'Tiling']"    1
"['Compliance/Legal']"       1
"['Compliance/Legal', 'ONET']"       1
"['Capital Markets']"   1
"['Bookkeeping']"       1
"['Biotechnology']"     1
"['Arts/Entertainment/Publishing', 'Accounting/Finance']"       1
"['Agriculture', 'Fishing']"    1
"['Administrative', 'Junior Receptionist']"     1
"['Accountancy', 'Financial Services']"       1
